模块名,接口描述,Scheme,接口地址,接口参数,请求方式,请求头,响应结果（非必填）,校验字段,校验方式,预期结果
物联网,协议管理-成功获取协议列表,http,/iotplat-device/rest/v1/protocol/page,"{""nickName"":"""",""typeCode"":"""",""enable"":"""",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},"{""code"":""200"",""msg"":""success"",""data"":{""content"":[{""id"":""c9cf3033-8bfe-4484-a185-51fa1c00c2cf"",""nickName"":""测试新增协议"",""description"":"""",""enable"":false,""typeCode"":""DAHUA_VIDEO_CLIENT"",""typeName"":""大华网络通讯协议"",""lastModifiedDate"":""2024-09-09 10:20:57"",""createdDate"":""2024-09-09 10:20:57"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":[]},{""id"":""2fe7a556-7789-49c2-9117-d6bb478bea21"",""nickName"":""门禁协议"",""description"":"""",""enable"":true,""typeCode"":""HTTP"",""typeName"":""HTTP"",""lastModifiedDate"":""2024-08-27 16:47:48"",""createdDate"":""2024-08-27 16:41:47"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":[""NORMAL""]},{""id"":""906a4547-6557-4186-8931-65fd3775b98d"",""nickName"":""bos_modbus"",""description"":"""",""enable"":true,""typeCode"":""modbus"",""typeName"":""modbus"",""lastModifiedDate"":""2024-06-06 17:31:56"",""createdDate"":""2023-09-28 13:55:49"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":null},{""id"":""a148cbd6-42a2-44f1-9ba9-dbb108091380"",""nickName"":""大华视频通讯协议"",""description"":"""",""enable"":true,""typeCode"":""DAHUA_VIDEO_CLIENT"",""typeName"":""大华网络通讯协议"",""lastModifiedDate"":""2024-06-06 17:30:11"",""createdDate"":""2023-11-26 10:49:27"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":null},{""id"":""927078e0-814e-44c2-abca-17f1523a7e92"",""nickName"":""wvp_http"",""description"":"""",""enable"":true,""typeCode"":""HTTP"",""typeName"":""HTTP"",""lastModifiedDate"":""2024-06-06 17:30:00"",""createdDate"":""2023-11-02 16:03:36"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":null},{""id"":""5a2e1237-0c5f-4ee5-ab7a-29ee7753e034"",""nickName"":""bos_mqtt"",""description"":""mqtt"",""enable"":true,""typeCode"":""mqtt"",""typeName"":""mqtt"",""lastModifiedDate"":""2024-06-06 17:29:51"",""createdDate"":""2023-09-28 13:56:20"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":null}],""totalPage"":1,""totalSize"":6}}",content,isinstance,list
物联网,协议管理-成功新增协议,http,/iotplat-device/rest/v1/protocol,"{""id"":"""",""nickName"":""${nickName}"",""serviceMode"":""CLIENT"",""typeName"":""大华网络通讯协议"",""description"":"""",""configText"":""测试"",""enable"":false,""configList"":[""测试""],""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":[],""typeCode"":""DAHUA_VIDEO_CLIENT""}",POST,{'content-type': 'application/json'},"{
 ""code"": """",
 ""msg"": """",
 ""data"": true
}",data,等于,TRUE
物联网,协议管理-成功删除协议,http,/iotplat-device/rest/v1/protocol/batch/delete?ids=${id},,DELETE,{'content-type': 'application/json'},"{""code"":""200"",""msg"":""success"",""data"":true}",code,等于,200
